op_id,worker_id,operation,start_ns,end_ns,latency_ms,status,attempt_count,leader_before,leader_after,error
1,1,1,1777304972913563000,1777304973554573000,641.010,OK,1,localhost:50051,localhost:50051,
2,1,2,1777304973554598000,1777304974188666000,634.068,OK,1,localhost:50051,localhost:50051,
3,1,3,1777304974188674000,1777304974830836000,642.162,OK,1,localhost:50051,localhost:50051,
4,1,4,1777304974830885000,1777304975548655000,717.770,OK,1,localhost:50051,localhost:50051,
5,1,5,1777304975548669000,1777304976182055000,633.386,OK,1,localhost:50051,localhost:50051,
6,1,6,1777304976182070000,1777304976827441000,645.371,OK,1,localhost:50051,localhost:50051,
7,1,7,1777304976827464000,1777304977483554000,656.090,OK,1,localhost:50051,localhost:50051,
8,1,8,1777304977483585000,1777304978287425000,803.840,OK,1,localhost:50051,localhost:50051,
9,1,9,1777304978287486000,1777304978995146000,707.660,OK,1,localhost:50051,localhost:50051,
10,1,10,1777304978995170000,1777304979726416000,731.246,OK,1,localhost:50051,localhost:50051,
11,1,11,1777304979800992000,1777304984024635000,4223.643,ERROR,30,localhost:50051,localhost:50052,exceeded max attempts (15)
12,1,12,1777304984024738000,1777305051971419000,67946.681,ERROR,30,localhost:50052,localhost:50052,exceeded max attempts (15)
13,1,13,1777305051971560000,1777305056192857000,4221.297,ERROR,30,localhost:50052,localhost:50052,exceeded max attempts (15)
14,1,14,1777305056192881000,1777305060415804000,4222.923,ERROR,29,localhost:50052,localhost:50052,exceeded max attempts (15)
15,1,15,1777305060415839000,1777305064642066000,4226.227,ERROR,30,localhost:50052,localhost:50052,exceeded max attempts (15)
16,1,16,1777305064642120000,1777305068866604000,4224.484,ERROR,29,localhost:50052,localhost:50052,exceeded max attempts (15)
17,1,17,1777305068866664000,1777305073088705000,4222.041,ERROR,30,localhost:50052,localhost:50052,exceeded max attempts (15)
18,1,18,1777305073088828000,1777305077313424000,4224.596,ERROR,30,localhost:50052,localhost:50052,exceeded max attempts (15)
19,1,19,1777305077313489000,1777305081538381000,4224.892,ERROR,30,localhost:50052,localhost:50052,exceeded max attempts (15)
20,1,20,1777305081538445000,1777305085763035000,4224.590,ERROR,29,localhost:50052,localhost:50052,exceeded max attempts (15)
