op_id,worker_id,operation,start_ns,end_ns,latency_ms,status,attempt_count,leader_before,leader_after,error
1,1,1,1777312482471533000,1777312482497651000,26.118,OK,1,localhost:50051,localhost:50051,
2,1,2,1777312482497661000,1777312482498293000,0.632,OK,1,localhost:50051,localhost:50051,
3,1,3,1777312482498297000,1777312482498882000,0.585,OK,1,localhost:50051,localhost:50051,
4,1,4,1777312482498886000,1777312482499471000,0.585,OK,1,localhost:50051,localhost:50051,
5,1,5,1777312482499475000,1777312482500003000,0.528,OK,1,localhost:50051,localhost:50051,
6,1,6,1777312482500006000,1777312482500510000,0.504,OK,1,localhost:50051,localhost:50051,
7,1,7,1777312482500513000,1777312482501031000,0.518,OK,1,localhost:50051,localhost:50051,
8,1,8,1777312482501038000,1777312482501535000,0.497,OK,1,localhost:50051,localhost:50051,
9,1,9,1777312482501539000,1777312482502083000,0.544,OK,1,localhost:50051,localhost:50051,
10,1,10,1777312482502085000,1777312482502552000,0.467,OK,1,localhost:50051,localhost:50051,
11,1,11,1777312482502554000,1777312482503027000,0.473,OK,1,localhost:50051,localhost:50051,
12,1,12,1777312482503029000,1777312482503577000,0.548,OK,1,localhost:50051,localhost:50051,
13,1,13,1777312482503581000,1777312482504068000,0.487,OK,1,localhost:50051,localhost:50051,
14,1,14,1777312482504070000,1777312482504601000,0.531,OK,1,localhost:50051,localhost:50051,
15,1,15,1777312482504603000,1777312482505126000,0.523,OK,1,localhost:50051,localhost:50051,
16,1,16,1777312482505128000,1777312482505594000,0.466,OK,1,localhost:50051,localhost:50051,
17,1,17,1777312482505596000,1777312482506071000,0.475,OK,1,localhost:50051,localhost:50051,
18,1,18,1777312482506075000,1777312482506531000,0.456,OK,1,localhost:50051,localhost:50051,
19,1,19,1777312482506533000,1777312482507006000,0.473,OK,1,localhost:50051,localhost:50051,
20,1,20,1777312482507010000,1777312482507491000,0.481,OK,1,localhost:50051,localhost:50051,
21,1,21,1777312482507494000,1777312482507918000,0.424,OK,1,localhost:50051,localhost:50051,
22,1,22,1777312482507920000,1777312482508369000,0.449,OK,1,localhost:50051,localhost:50051,
23,1,23,1777312482508371000,1777312482508891000,0.520,OK,1,localhost:50051,localhost:50051,
24,1,24,1777312482508894000,1777312482509335000,0.441,OK,1,localhost:50051,localhost:50051,
25,1,25,1777312482509337000,1777312482509765000,0.428,OK,1,localhost:50051,localhost:50051,
26,1,26,1777312482509768000,1777312482510216000,0.448,OK,1,localhost:50051,localhost:50051,
27,1,27,1777312482510218000,1777312482510677000,0.459,OK,1,localhost:50051,localhost:50051,
28,1,28,1777312482510695000,1777312482511166000,0.471,OK,1,localhost:50051,localhost:50051,
29,1,29,1777312482511169000,1777312482511589000,0.420,OK,1,localhost:50051,localhost:50051,
30,1,30,1777312482511591000,1777312482512060000,0.469,OK,1,localhost:50051,localhost:50051,
31,1,31,1777312482568883000,1777312483333831000,764.948,OK,6,localhost:50051,localhost:50052,
32,1,32,1777312483333841000,1777312483334789000,0.948,OK,1,localhost:50052,localhost:50052,
33,1,33,1777312483334792000,1777312483335236000,0.444,OK,1,localhost:50052,localhost:50052,
34,1,34,1777312483335239000,1777312483335624000,0.385,OK,1,localhost:50052,localhost:50052,
35,1,35,1777312483335626000,1777312483336021000,0.395,OK,1,localhost:50052,localhost:50052,
36,1,36,1777312483336024000,1777312483336424000,0.400,OK,1,localhost:50052,localhost:50052,
37,1,37,1777312483336425000,1777312483336802000,0.377,OK,1,localhost:50052,localhost:50052,
38,1,38,1777312483336804000,1777312483337277000,0.473,OK,1,localhost:50052,localhost:50052,
39,1,39,1777312483337279000,1777312483337648000,0.369,OK,1,localhost:50052,localhost:50052,
40,1,40,1777312483337650000,1777312483338123000,0.473,OK,1,localhost:50052,localhost:50052,
41,1,41,1777312483338125000,1777312483338518000,0.393,OK,1,localhost:50052,localhost:50052,
42,1,42,1777312483338520000,1777312483338901000,0.381,OK,1,localhost:50052,localhost:50052,
43,1,43,1777312483338903000,1777312483339271000,0.368,OK,1,localhost:50052,localhost:50052,
44,1,44,1777312483339273000,1777312483339613000,0.340,OK,1,localhost:50052,localhost:50052,
45,1,45,1777312483339615000,1777312483339986000,0.371,OK,1,localhost:50052,localhost:50052,
46,1,46,1777312483339988000,1777312483340384000,0.396,OK,1,localhost:50052,localhost:50052,
47,1,47,1777312483340386000,1777312483340789000,0.403,OK,1,localhost:50052,localhost:50052,
48,1,48,1777312483340791000,1777312483341216000,0.425,OK,1,localhost:50052,localhost:50052,
49,1,49,1777312483341218000,1777312483341598000,0.380,OK,1,localhost:50052,localhost:50052,
50,1,50,1777312483341600000,1777312483342124000,0.524,OK,1,localhost:50052,localhost:50052,
51,1,51,1777312483342127000,1777312483342485000,0.358,OK,1,localhost:50052,localhost:50052,
52,1,52,1777312483342487000,1777312483342958000,0.471,OK,1,localhost:50052,localhost:50052,
53,1,53,1777312483342960000,1777312483343272000,0.312,OK,1,localhost:50052,localhost:50052,
54,1,54,1777312483343274000,1777312483343663000,0.389,OK,1,localhost:50052,localhost:50052,
55,1,55,1777312483343665000,1777312483344037000,0.372,OK,1,localhost:50052,localhost:50052,
56,1,56,1777312483344039000,1777312483344585000,0.546,OK,1,localhost:50052,localhost:50052,
57,1,57,1777312483344587000,1777312483344993000,0.406,OK,1,localhost:50052,localhost:50052,
58,1,58,1777312483344995000,1777312483345280000,0.285,OK,1,localhost:50052,localhost:50052,
59,1,59,1777312483345282000,1777312483345671000,0.389,OK,1,localhost:50052,localhost:50052,
60,1,60,1777312483345672000,1777312483346021000,0.349,OK,1,localhost:50052,localhost:50052,
