op_id,worker_id,operation,start_ns,end_ns,latency_ms,status,attempt_count,leader_before,leader_after,error
1,1,1,1777312496800379000,1777312496924995000,124.616,OK,1,localhost:50051,localhost:50051,
2,1,2,1777312496925018000,1777312496926028000,1.010,OK,1,localhost:50051,localhost:50051,
3,1,3,1777312496926035000,1777312496926704000,0.669,OK,1,localhost:50051,localhost:50051,
4,1,4,1777312496926708000,1777312496927566000,0.858,OK,1,localhost:50051,localhost:50051,
5,1,5,1777312496927573000,1777312496928247000,0.674,OK,1,localhost:50051,localhost:50051,
6,1,6,1777312496928253000,1777312496928882000,0.629,OK,1,localhost:50051,localhost:50051,
7,1,7,1777312496928886000,1777312496929450000,0.564,OK,1,localhost:50051,localhost:50051,
8,1,8,1777312496929455000,1777312496930009000,0.554,OK,1,localhost:50051,localhost:50051,
9,1,9,1777312496930015000,1777312496930683000,0.668,OK,1,localhost:50051,localhost:50051,
10,1,10,1777312496930688000,1777312496931680000,0.992,OK,1,localhost:50051,localhost:50051,
11,1,11,1777312496931689000,1777312496932637000,0.948,OK,1,localhost:50051,localhost:50051,
12,1,12,1777312496932644000,1777312496933450000,0.806,OK,1,localhost:50051,localhost:50051,
13,1,13,1777312496933454000,1777312496934076000,0.622,OK,1,localhost:50051,localhost:50051,
14,1,14,1777312496934079000,1777312496934749000,0.670,OK,1,localhost:50051,localhost:50051,
15,1,15,1777312496934754000,1777312496935417000,0.663,OK,1,localhost:50051,localhost:50051,
16,1,16,1777312496935420000,1777312496936038000,0.618,OK,1,localhost:50051,localhost:50051,
17,1,17,1777312496936040000,1777312496936684000,0.644,OK,1,localhost:50051,localhost:50051,
18,1,18,1777312496936686000,1777312496937235000,0.549,OK,1,localhost:50051,localhost:50051,
19,1,19,1777312496937240000,1777312496937873000,0.633,OK,1,localhost:50051,localhost:50051,
20,1,20,1777312496937876000,1777312496938557000,0.681,OK,1,localhost:50051,localhost:50051,
21,1,21,1777312496938561000,1777312496939085000,0.524,OK,1,localhost:50051,localhost:50051,
22,1,22,1777312496939090000,1777312496939634000,0.544,OK,1,localhost:50051,localhost:50051,
23,1,23,1777312496939637000,1777312496940283000,0.646,OK,1,localhost:50051,localhost:50051,
24,1,24,1777312496940287000,1777312496940893000,0.606,OK,1,localhost:50051,localhost:50051,
25,1,25,1777312496940897000,1777312496941456000,0.559,OK,1,localhost:50051,localhost:50051,
26,1,26,1777312496941459000,1777312496942096000,0.637,OK,1,localhost:50051,localhost:50051,
27,1,27,1777312496942099000,1777312496942711000,0.612,OK,1,localhost:50051,localhost:50051,
28,1,28,1777312496942714000,1777312496943298000,0.584,OK,1,localhost:50051,localhost:50051,
29,1,29,1777312496943301000,1777312496944002000,0.701,OK,1,localhost:50051,localhost:50051,
30,1,30,1777312496944011000,1777312496944590000,0.579,OK,1,localhost:50051,localhost:50051,
31,1,31,1777312497003487000,1777312497832507000,829.020,OK,6,localhost:50051,localhost:50052,
32,1,32,1777312497832516000,1777312497833093000,0.577,OK,1,localhost:50052,localhost:50052,
33,1,33,1777312497833096000,1777312497833665000,0.569,OK,1,localhost:50052,localhost:50052,
34,1,34,1777312497833668000,1777312497834175000,0.507,OK,1,localhost:50052,localhost:50052,
35,1,35,1777312497834177000,1777312497834594000,0.417,OK,1,localhost:50052,localhost:50052,
36,1,36,1777312497834596000,1777312497835048000,0.452,OK,1,localhost:50052,localhost:50052,
37,1,37,1777312497835050000,1777312497835612000,0.562,OK,1,localhost:50052,localhost:50052,
38,1,38,1777312497835615000,1777312497836121000,0.506,OK,1,localhost:50052,localhost:50052,
39,1,39,1777312497836123000,1777312497836594000,0.471,OK,1,localhost:50052,localhost:50052,
40,1,40,1777312497836595000,1777312497837026000,0.431,OK,1,localhost:50052,localhost:50052,
41,1,41,1777312497837028000,1777312497837528000,0.500,OK,1,localhost:50052,localhost:50052,
42,1,42,1777312497837530000,1777312497837945000,0.415,OK,1,localhost:50052,localhost:50052,
43,1,43,1777312497837955000,1777312497838364000,0.409,OK,1,localhost:50052,localhost:50052,
