op_id,worker_id,operation,start_ns,end_ns,latency_ms,status,attempt_count,leader_before,leader_after,error
4,4,1,1777151371568527000,1777151371591079000,22.552,OK,1,localhost:52051,localhost:52051,
2,3,1,1777151371568368000,1777151371591106000,22.738,OK,1,localhost:52051,localhost:52051,
1,1,1,1777151371568365000,1777151371591975000,23.610,OK,1,localhost:52051,localhost:52051,
3,2,1,1777151371568456000,1777151371591987000,23.531,OK,1,localhost:52051,localhost:52051,
7,1,2,1777151371611985000,1777151371612980000,0.995,OK,1,localhost:52051,localhost:52051,
8,2,2,1777151371612013000,1777151371613002000,0.989,OK,1,localhost:52051,localhost:52051,
5,3,2,1777151371611913000,1777151371613007000,1.094,OK,1,localhost:52051,localhost:52051,
6,4,2,1777151371611921000,1777151371613011000,1.090,OK,1,localhost:52051,localhost:52051,
9,4,3,1777151371633285000,1777151371642107000,8.822,OK,1,localhost:52051,localhost:52051,
12,3,3,1777151371633474000,1777151371642134000,8.660,OK,1,localhost:52051,localhost:52051,
11,1,3,1777151371633426000,1777151371642994000,9.568,OK,1,localhost:52051,localhost:52051,
10,2,3,1777151371633323000,1777151371646398000,13.075,OK,1,localhost:52051,localhost:52051,
15,3,4,1777151371663319000,1777151371664847000,1.528,OK,1,localhost:52051,localhost:52051,
14,1,4,1777151371663297000,1777151371664865000,1.568,OK,1,localhost:52051,localhost:52051,
13,4,4,1777151371663302000,1777151371664868000,1.566,OK,1,localhost:52051,localhost:52051,
16,2,4,1777151371666770000,1777151371670123000,3.353,OK,1,localhost:52051,localhost:52051,
19,1,5,1777151371686227000,1777151371690047000,3.820,OK,1,localhost:52051,localhost:52051,
18,3,5,1777151371686195000,1777151371690068000,3.873,OK,1,localhost:52051,localhost:52051,
17,4,5,1777151371686160000,1777151371690071000,3.911,OK,1,localhost:52051,localhost:52051,
20,2,5,1777151371690173000,1777151371691701000,1.528,OK,1,localhost:52051,localhost:52051,
22,1,6,1777151371711138000,1777151371712342000,1.204,OK,1,localhost:52051,localhost:52051,
23,3,6,1777151371711163000,1777151371712357000,1.194,OK,1,localhost:52051,localhost:52051,
21,4,6,1777151371711122000,1777151371712896000,1.774,OK,1,localhost:52051,localhost:52051,
24,2,6,1777151371712256000,1777151371714427000,2.171,OK,1,localhost:52051,localhost:52051,
26,3,7,1777151371733372000,1777151371733670000,0.298,OK,1,localhost:52051,localhost:52051,
25,4,7,1777151371733369000,1777151371733682000,0.313,OK,1,localhost:52051,localhost:52051,
27,1,7,1777151371733390000,1777151371733698000,0.308,OK,1,localhost:52051,localhost:52051,
28,2,7,1777151371734531000,1777151371734843000,0.312,OK,1,localhost:52051,localhost:52051,
31,4,8,1777151371754734000,1777151371755471000,0.737,OK,1,localhost:52051,localhost:52051,
32,2,8,1777151371755068000,1777151371755482000,0.414,OK,1,localhost:52051,localhost:52051,
29,1,8,1777151371754681000,1777151371755485000,0.804,OK,1,localhost:52051,localhost:52051,
30,3,8,1777151371754730000,1777151371755487000,0.757,OK,1,localhost:52051,localhost:52051,
36,1,9,1777151371776547000,1777151371776900000,0.353,OK,1,localhost:52051,localhost:52051,
33,3,9,1777151371776503000,1777151371776900000,0.397,OK,1,localhost:52051,localhost:52051,
35,4,9,1777151371776542000,1777151371776922000,0.380,OK,1,localhost:52051,localhost:52051,
34,2,9,1777151371776522000,1777151371776900000,0.378,OK,1,localhost:52051,localhost:52051,
38,3,10,1777151371797235000,1777151371797534000,0.299,OK,1,localhost:52051,localhost:52051,
40,1,10,1777151371797260000,1777151371797543000,0.283,OK,1,localhost:52051,localhost:52051,
39,2,10,1777151371797248000,1777151371797548000,0.300,OK,1,localhost:52051,localhost:52051,
37,4,10,1777151371797220000,1777151371797700000,0.480,OK,1,localhost:52051,localhost:52051,
41,4,11,1777151371818606000,1777151371819111000,0.505,OK,1,localhost:52051,localhost:52051,
44,1,11,1777151371818668000,1777151371819123000,0.455,OK,1,localhost:52051,localhost:52051,
43,3,11,1777151371818641000,1777151371819235000,0.594,OK,1,localhost:52051,localhost:52051,
42,2,11,1777151371818616000,1777151371819250000,0.634,OK,1,localhost:52051,localhost:52051,
48,1,12,1777151371840226000,1777151371840555000,0.329,OK,1,localhost:52051,localhost:52051,
47,4,12,1777151371840212000,1777151371840558000,0.346,OK,1,localhost:52051,localhost:52051,
45,3,12,1777151371840161000,1777151371840554000,0.393,OK,1,localhost:52051,localhost:52051,
46,2,12,1777151371840192000,1777151371840584000,0.392,OK,1,localhost:52051,localhost:52051,
51,1,13,1777151371861655000,1777151371862134000,0.479,OK,1,localhost:52051,localhost:52051,
52,3,13,1777151371861660000,1777151371862155000,0.495,OK,1,localhost:52051,localhost:52051,
49,4,13,1777151371861600000,1777151371862167000,0.567,OK,1,localhost:52051,localhost:52051,
50,2,13,1777151371861620000,1777151371862190000,0.570,OK,1,localhost:52051,localhost:52051,
56,3,14,1777151371882310000,1777151371882978000,0.668,OK,1,localhost:52051,localhost:52051,
55,1,14,1777151371882304000,1777151371883012000,0.708,OK,1,localhost:52051,localhost:52051,
54,2,14,1777151371882265000,1777151371883027000,0.762,OK,1,localhost:52051,localhost:52051,
53,4,14,1777151371882257000,1777151371883031000,0.774,OK,1,localhost:52051,localhost:52051,
60,3,15,1777151371904205000,1777151371904586000,0.381,OK,1,localhost:52051,localhost:52051,
57,4,15,1777151371904081000,1777151371904615000,0.534,OK,1,localhost:52051,localhost:52051,
59,2,15,1777151371904184000,1777151371904620000,0.436,OK,1,localhost:52051,localhost:52051,
58,1,15,1777151371904153000,1777151371904818000,0.665,OK,1,localhost:52051,localhost:52051,
62,3,16,1777151371924707000,1777151371942801000,18.094,OK,1,localhost:52051,localhost:52051,
63,4,16,1777151371924718000,1777151371942802000,18.084,OK,1,localhost:52051,localhost:52051,
61,2,16,1777151371924691000,1777151371942821000,18.130,OK,1,localhost:52051,localhost:52051,
64,1,16,1777151371924853000,1777151371942838000,17.985,OK,1,localhost:52051,localhost:52051,
66,4,17,1777151371964309000,1777151371964547000,0.238,OK,1,localhost:52051,localhost:52051,
67,1,17,1777151371964334000,1777151371964563000,0.229,OK,1,localhost:52051,localhost:52051,
68,3,17,1777151371964340000,1777151371964598000,0.258,OK,1,localhost:52051,localhost:52051,
65,2,17,1777151371964309000,1777151371964691000,0.382,OK,1,localhost:52051,localhost:52051,
71,3,18,1777151371985626000,1777151371986034000,0.408,OK,1,localhost:52051,localhost:52051,
72,4,18,1777151371985634000,1777151371986046000,0.412,OK,1,localhost:52051,localhost:52051,
70,1,18,1777151371985615000,1777151371986047000,0.432,OK,1,localhost:52051,localhost:52051,
69,2,18,1777151371985588000,1777151371986034000,0.446,OK,1,localhost:52051,localhost:52051,
73,2,19,1777151372007100000,1777151372007643000,0.543,OK,1,localhost:52051,localhost:52051,
75,1,19,1777151372007120000,1777151372007651000,0.531,OK,1,localhost:52051,localhost:52051,
74,4,19,1777151372007107000,1777151372007656000,0.549,OK,1,localhost:52051,localhost:52051,
76,3,19,1777151372007147000,1777151372007734000,0.587,OK,1,localhost:52051,localhost:52051,
77,1,20,1777151372028730000,1777151372029590000,0.860,OK,1,localhost:52051,localhost:52051,
78,3,20,1777151372028747000,1777151372029656000,0.909,OK,1,localhost:52051,localhost:52051,
80,4,20,1777151372028791000,1777151372029662000,0.871,OK,1,localhost:52051,localhost:52051,
79,2,20,1777151372028773000,1777151372029671000,0.898,OK,1,localhost:52051,localhost:52051,
