op_id,worker_id,operation,start_ns,end_ns,latency_ms,status,attempt_count,leader_before,leader_after,error
3,4,1,1777151374983051000,1777151375091793000,108.742,OK,1,localhost:52051,localhost:52051,
2,3,1,1777151374983069000,1777151375091798000,108.729,OK,1,localhost:52051,localhost:52051,
4,1,1,1777151374983035000,1777151375091793000,108.758,OK,1,localhost:52051,localhost:52051,
1,2,1,1777151374983035000,1777151375091793000,108.758,OK,1,localhost:52051,localhost:52051,
8,3,2,1777151375112111000,1777151375112396000,0.285,OK,1,localhost:52051,localhost:52051,
7,1,2,1777151375112086000,1777151375112406000,0.320,OK,1,localhost:52051,localhost:52051,
5,4,2,1777151375111962000,1777151375112396000,0.434,OK,1,localhost:52051,localhost:52051,
6,2,2,1777151375112010000,1777151375112466000,0.456,OK,1,localhost:52051,localhost:52051,
11,4,3,1777151375133482000,1777151375147058000,13.576,OK,1,localhost:52051,localhost:52051,
10,2,3,1777151375133452000,1777151375147072000,13.620,OK,1,localhost:52051,localhost:52051,
9,1,3,1777151375133452000,1777151375147076000,13.624,OK,1,localhost:52051,localhost:52051,
12,3,3,1777151375133498000,1777151375147253000,13.755,OK,1,localhost:52051,localhost:52051,
15,2,4,1777151375168151000,1777151375168687000,0.536,OK,1,localhost:52051,localhost:52051,
16,4,4,1777151375168161000,1777151375168700000,0.539,OK,1,localhost:52051,localhost:52051,
13,1,4,1777151375168108000,1777151375168705000,0.597,OK,1,localhost:52051,localhost:52051,
14,3,4,1777151375168116000,1777151375168708000,0.592,OK,1,localhost:52051,localhost:52051,
18,4,5,1777151375189236000,1777151375192333000,3.097,OK,1,localhost:52051,localhost:52051,
19,2,5,1777151375189252000,1777151375192357000,3.105,OK,1,localhost:52051,localhost:52051,
20,1,5,1777151375189254000,1777151375192362000,3.108,OK,1,localhost:52051,localhost:52051,
17,3,5,1777151375189220000,1777151375192366000,3.146,OK,1,localhost:52051,localhost:52051,
23,3,6,1777151375213498000,1777151375218394000,4.896,OK,1,localhost:52051,localhost:52051,
24,1,6,1777151375213527000,1777151375218417000,4.890,OK,1,localhost:52051,localhost:52051,
21,4,6,1777151375213490000,1777151375218422000,4.932,OK,1,localhost:52051,localhost:52051,
22,2,6,1777151375213495000,1777151375219456000,5.961,OK,1,localhost:52051,localhost:52051,
27,3,7,1777151375240034000,1777151375245380000,5.346,OK,1,localhost:52051,localhost:52051,
28,1,7,1777151375240039000,1777151375245402000,5.363,OK,1,localhost:52051,localhost:52051,
25,4,7,1777151375239974000,1777151375245537000,5.563,OK,1,localhost:52051,localhost:52051,
26,2,7,1777151375240013000,1777151375245548000,5.535,OK,1,localhost:52051,localhost:52051,
31,4,8,1777151375266703000,1777151375267004000,0.301,OK,1,localhost:52051,localhost:52051,
30,1,8,1777151375266686000,1777151375267019000,0.333,OK,1,localhost:52051,localhost:52051,
32,3,8,1777151375266720000,1777151375267021000,0.301,OK,1,localhost:52051,localhost:52051,
29,2,8,1777151375266677000,1777151375267023000,0.346,OK,1,localhost:52051,localhost:52051,
36,4,9,1777151375287742000,1777151375288181000,0.439,OK,1,localhost:52051,localhost:52051,
33,2,9,1777151375287664000,1777151375288204000,0.540,OK,1,localhost:52051,localhost:52051,
35,3,9,1777151375287727000,1777151375288208000,0.481,OK,1,localhost:52051,localhost:52051,
34,1,9,1777151375287705000,1777151375288224000,0.519,OK,1,localhost:52051,localhost:52051,
