op_id,worker_id,operation,start_ns,end_ns,latency_ms,status,attempt_count,leader_before,leader_after,error
1,1,1,1777314037797388000,1777314037824370000,26.982,OK,1,localhost:50051,localhost:50051,
4,4,1,1777314037797445000,1777314037824393000,26.948,OK,1,localhost:50051,localhost:50051,
2,3,1,1777314037797396000,1777314037824417000,27.021,OK,1,localhost:50051,localhost:50051,
3,2,1,1777314037797419000,1777314037824425000,27.006,OK,1,localhost:50051,localhost:50051,
8,4,2,1777314037845553000,1777314037846944000,1.391,OK,1,localhost:50051,localhost:50051,
6,2,2,1777314037845458000,1777314037846962000,1.504,OK,1,localhost:50051,localhost:50051,
5,1,2,1777314037845421000,1777314037846944000,1.523,OK,1,localhost:50051,localhost:50051,
7,3,2,1777314037845534000,1777314037846979000,1.445,OK,1,localhost:50051,localhost:50051,
10,3,3,1777314037868016000,1777314037869125000,1.109,OK,1,localhost:50051,localhost:50051,
9,2,3,1777314037868008000,1777314037869146000,1.138,OK,1,localhost:50051,localhost:50051,
12,1,3,1777314037868108000,1777314037869193000,1.085,OK,1,localhost:50051,localhost:50051,
11,4,3,1777314037868017000,1777314037869193000,1.176,OK,1,localhost:50051,localhost:50051,
15,1,4,1777314037890234000,1777314037891376000,1.142,OK,1,localhost:50051,localhost:50051,
14,3,4,1777314037890220000,1777314037891383000,1.163,OK,1,localhost:50051,localhost:50051,
16,4,4,1777314037890259000,1777314037891400000,1.141,OK,1,localhost:50051,localhost:50051,
13,2,4,1777314037890193000,1777314037891406000,1.213,OK,1,localhost:50051,localhost:50051,
18,2,5,1777314037912474000,1777314037913552000,1.078,OK,1,localhost:50051,localhost:50051,
19,1,5,1777314037912481000,1777314037913571000,1.090,OK,1,localhost:50051,localhost:50051,
17,3,5,1777314037912437000,1777314037913579000,1.142,OK,1,localhost:50051,localhost:50051,
20,4,5,1777314037912504000,1777314037913587000,1.083,OK,1,localhost:50051,localhost:50051,
23,2,6,1777314037934153000,1777314037936919000,2.766,OK,1,localhost:50051,localhost:50051,
21,4,6,1777314037933877000,1777314037936924000,3.047,OK,1,localhost:50051,localhost:50051,
22,3,6,1777314037934123000,1777314037936918000,2.795,OK,1,localhost:50051,localhost:50051,
24,1,6,1777314037934168000,1777314037936918000,2.750,OK,1,localhost:50051,localhost:50051,
28,4,7,1777314037958057000,1777314037960620000,2.563,OK,1,localhost:50051,localhost:50051,
27,3,7,1777314037958045000,1777314037960641000,2.596,OK,1,localhost:50051,localhost:50051,
26,1,7,1777314037958028000,1777314037960682000,2.654,OK,1,localhost:50051,localhost:50051,
25,2,7,1777314037957986000,1777314037960696000,2.710,OK,1,localhost:50051,localhost:50051,
31,3,8,1777314037981700000,1777314037982663000,0.963,OK,1,localhost:50051,localhost:50051,
32,1,8,1777314037981724000,1777314037982680000,0.956,OK,1,localhost:50051,localhost:50051,
30,4,8,1777314037981682000,1777314037982690000,1.008,OK,1,localhost:50051,localhost:50051,
29,2,8,1777314037981678000,1777314037982698000,1.020,OK,1,localhost:50051,localhost:50051,
34,1,9,1777314038004825000,1777314038006563000,1.738,OK,1,localhost:50051,localhost:50051,
36,3,9,1777314038004885000,1777314038006597000,1.712,OK,1,localhost:50051,localhost:50051,
33,2,9,1777314038004803000,1777314038006606000,1.803,OK,1,localhost:50051,localhost:50051,
35,4,9,1777314038004861000,1777314038006619000,1.758,OK,1,localhost:50051,localhost:50051,
39,1,10,1777314038029210000,1777314038030840000,1.630,OK,1,localhost:50051,localhost:50051,
40,3,10,1777314038029254000,1777314038030841000,1.587,OK,1,localhost:50051,localhost:50051,
38,2,10,1777314038029183000,1777314038030869000,1.686,OK,1,localhost:50051,localhost:50051,
37,4,10,1777314038029151000,1777314038030882000,1.731,OK,1,localhost:50051,localhost:50051,
42,1,11,1777314038051272000,1777314038052568000,1.296,OK,1,localhost:50051,localhost:50051,
43,4,11,1777314038051295000,1777314038052683000,1.388,OK,1,localhost:50051,localhost:50051,
41,2,11,1777314038051260000,1777314038052713000,1.453,OK,1,localhost:50051,localhost:50051,
44,3,11,1777314038051320000,1777314038052718000,1.398,OK,1,localhost:50051,localhost:50051,
45,1,12,1777314038073755000,1777314038076663000,2.908,OK,1,localhost:50051,localhost:50051,
47,4,12,1777314038073919000,1777314038076665000,2.746,OK,1,localhost:50051,localhost:50051,
46,3,12,1777314038073898000,1777314038076663000,2.765,OK,1,localhost:50051,localhost:50051,
48,2,12,1777314038073928000,1777314038076724000,2.796,OK,1,localhost:50051,localhost:50051,
51,4,13,1777314038097931000,1777314038098967000,1.036,OK,1,localhost:50051,localhost:50051,
52,3,13,1777314038097848000,1777314038098972000,1.124,OK,1,localhost:50051,localhost:50051,
49,1,13,1777314038097758000,1777314038098992000,1.234,OK,1,localhost:50051,localhost:50051,
50,2,13,1777314038097794000,1777314038099016000,1.222,OK,1,localhost:50051,localhost:50051,
53,4,14,1777314038120062000,1777314038121308000,1.246,OK,1,localhost:50051,localhost:50051,
56,1,14,1777314038120120000,1777314038121330000,1.210,OK,1,localhost:50051,localhost:50051,
55,3,14,1777314038120097000,1777314038121309000,1.212,OK,1,localhost:50051,localhost:50051,
54,2,14,1777314038120076000,1777314038121339000,1.263,OK,1,localhost:50051,localhost:50051,
58,3,15,1777314038142437000,1777314038146604000,4.167,OK,1,localhost:50051,localhost:50051,
57,2,15,1777314038142390000,1777314038146699000,4.309,OK,1,localhost:50051,localhost:50051,
59,1,15,1777314038142498000,1777314038146711000,4.213,OK,1,localhost:50051,localhost:50051,
60,4,15,1777314038142520000,1777314038146721000,4.201,OK,1,localhost:50051,localhost:50051,
63,2,16,1777314038167339000,1777314038168511000,1.172,OK,1,localhost:50051,localhost:50051,
61,4,16,1777314038167064000,1777314038168532000,1.468,OK,1,localhost:50051,localhost:50051,
62,3,16,1777314038167078000,1777314038168543000,1.465,OK,1,localhost:50051,localhost:50051,
64,1,16,1777314038167193000,1777314038168549000,1.356,OK,1,localhost:50051,localhost:50051,
65,1,17,1777314038189452000,1777314038190654000,1.202,OK,1,localhost:50051,localhost:50051,
67,3,17,1777314038189510000,1777314038190671000,1.161,OK,1,localhost:50051,localhost:50051,
68,2,17,1777314038189527000,1777314038190654000,1.127,OK,1,localhost:50051,localhost:50051,
66,4,17,1777314038189479000,1777314038190690000,1.211,OK,1,localhost:50051,localhost:50051,
70,3,18,1777314038211766000,1777314038213152000,1.386,OK,1,localhost:50051,localhost:50051,
71,1,18,1777314038211784000,1777314038213341000,1.557,OK,1,localhost:50051,localhost:50051,
72,4,18,1777314038211813000,1777314038213350000,1.537,OK,1,localhost:50051,localhost:50051,
69,2,18,1777314038211738000,1777314038213358000,1.620,OK,1,localhost:50051,localhost:50051,
73,2,19,1777314038234213000,1777314038235274000,1.061,OK,1,localhost:50051,localhost:50051,
76,4,19,1777314038234254000,1777314038235290000,1.036,OK,1,localhost:50051,localhost:50051,
74,3,19,1777314038234224000,1777314038235297000,1.073,OK,1,localhost:50051,localhost:50051,
75,1,19,1777314038234241000,1777314038235301000,1.060,OK,1,localhost:50051,localhost:50051,
77,1,20,1777314038256321000,1777314038257192000,0.871,OK,1,localhost:50051,localhost:50051,
80,3,20,1777314038256368000,1777314038257192000,0.824,OK,1,localhost:50051,localhost:50051,
78,4,20,1777314038256347000,1777314038257209000,0.862,OK,1,localhost:50051,localhost:50051,
79,2,20,1777314038256362000,1777314038257213000,0.851,OK,1,localhost:50051,localhost:50051,
82,1,21,1777314038278300000,1777314038279283000,0.983,OK,1,localhost:50051,localhost:50051,
81,4,21,1777314038278357000,1777314038279281000,0.924,OK,1,localhost:50051,localhost:50051,
83,3,21,1777314038278303000,1777314038279322000,1.019,OK,1,localhost:50051,localhost:50051,
86,1,22,1777314038300364000,1777314038301128000,0.764,OK,1,localhost:50051,localhost:50051,
84,3,22,1777314038300331000,1777314038301138000,0.807,OK,1,localhost:50051,localhost:50051,
85,4,22,1777314038300349000,1777314038301143000,0.794,OK,1,localhost:50051,localhost:50051,
90,2,21,1777314038323428000,1777314039066115000,742.687,OK,6,localhost:50051,localhost:50052,
91,2,22,1777314039087236000,1777314039088393000,1.157,OK,1,localhost:50052,localhost:50052,
92,2,23,1777314039109528000,1777314039111836000,2.308,OK,1,localhost:50052,localhost:50052,
93,2,24,1777314039132926000,1777314039134269000,1.343,OK,1,localhost:50052,localhost:50052,
94,2,25,1777314039155392000,1777314039156556000,1.164,OK,1,localhost:50052,localhost:50052,
88,1,23,1777314038322183000,1777314039162367000,840.184,OK,6,localhost:50051,localhost:50052,
87,4,23,1777314038322150000,1777314039163450000,841.300,OK,6,localhost:50051,localhost:50052,
95,2,26,1777314039178087000,1777314039180740000,2.653,OK,1,localhost:50052,localhost:50052,
96,1,24,1777314039182636000,1777314039183366000,0.730,OK,1,localhost:50052,localhost:50052,
97,4,24,1777314039183508000,1777314039184480000,0.972,OK,1,localhost:50052,localhost:50052,
