op_id,worker_id,operation,start_ns,end_ns,latency_ms,status,attempt_count,leader_before,leader_after,error
1,1,1,1777314025308289000,1777314025335245000,26.956,OK,1,localhost:50051,localhost:50051,
2,3,1,1777314025308295000,1777314025335262000,26.967,OK,1,localhost:50051,localhost:50051,
3,2,1,1777314025308303000,1777314025335284000,26.981,OK,1,localhost:50051,localhost:50051,
4,4,1,1777314025308347000,1777314025335298000,26.951,OK,1,localhost:50051,localhost:50051,
6,4,2,1777314025356350000,1777314025357273000,0.923,OK,1,localhost:50051,localhost:50051,
8,1,2,1777314025356309000,1777314025357432000,1.123,OK,1,localhost:50051,localhost:50051,
7,3,2,1777314025356305000,1777314025357433000,1.128,OK,1,localhost:50051,localhost:50051,
5,2,2,1777314025356297000,1777314025357527000,1.230,OK,1,localhost:50051,localhost:50051,
9,2,3,1777314025378321000,1777314025379326000,1.005,OK,1,localhost:50051,localhost:50051,
12,3,3,1777314025378370000,1777314025379341000,0.971,OK,1,localhost:50051,localhost:50051,
11,1,3,1777314025378368000,1777314025379345000,0.977,OK,1,localhost:50051,localhost:50051,
10,4,3,1777314025378356000,1777314025379326000,0.970,OK,1,localhost:50051,localhost:50051,
16,3,4,1777314025400069000,1777314025404951000,4.882,OK,1,localhost:50051,localhost:50051,
15,4,4,1777314025400056000,1777314025404985000,4.929,OK,1,localhost:50051,localhost:50051,
14,2,4,1777314025400038000,1777314025405030000,4.992,OK,1,localhost:50051,localhost:50051,
13,1,4,1777314025400024000,1777314025405012000,4.988,OK,1,localhost:50051,localhost:50051,
18,3,5,1777314025426679000,1777314025428398000,1.719,OK,1,localhost:50051,localhost:50051,
17,2,5,1777314025426624000,1777314025428418000,1.794,OK,1,localhost:50051,localhost:50051,
20,1,5,1777314025426832000,1777314025428435000,1.603,OK,1,localhost:50051,localhost:50051,
19,4,5,1777314025426794000,1777314025428437000,1.643,OK,1,localhost:50051,localhost:50051,
22,1,6,1777314025449494000,1777314025450313000,0.819,OK,1,localhost:50051,localhost:50051,
21,4,6,1777314025449492000,1777314025450326000,0.834,OK,1,localhost:50051,localhost:50051,
24,2,6,1777314025449544000,1777314025450327000,0.783,OK,1,localhost:50051,localhost:50051,
23,3,6,1777314025449528000,1777314025450356000,0.828,OK,1,localhost:50051,localhost:50051,
27,4,7,1777314025471024000,1777314025472166000,1.142,OK,1,localhost:50051,localhost:50051,
25,3,7,1777314025471001000,1777314025472186000,1.185,OK,1,localhost:50051,localhost:50051,
26,2,7,1777314025471029000,1777314025472199000,1.170,OK,1,localhost:50051,localhost:50051,
28,1,7,1777314025471062000,1777314025472211000,1.149,OK,1,localhost:50051,localhost:50051,
32,3,8,1777314025492539000,1777314025497179000,4.640,OK,1,localhost:50051,localhost:50051,
31,4,8,1777314025492525000,1777314025497193000,4.668,OK,1,localhost:50051,localhost:50051,
29,2,8,1777314025492469000,1777314025497199000,4.730,OK,1,localhost:50051,localhost:50051,
30,1,8,1777314025492488000,1777314025497207000,4.719,OK,1,localhost:50051,localhost:50051,
34,4,9,1777314025518276000,1777314025519603000,1.327,OK,1,localhost:50051,localhost:50051,
33,1,9,1777314025518256000,1777314025519626000,1.370,OK,1,localhost:50051,localhost:50051,
35,2,9,1777314025518297000,1777314025519639000,1.342,OK,1,localhost:50051,localhost:50051,
36,3,9,1777314025518323000,1777314025519647000,1.324,OK,1,localhost:50051,localhost:50051,
37,3,10,1777314025539686000,1777314025542106000,2.420,OK,1,localhost:50051,localhost:50051,
